id,brand,model,screenSize,storage,postage,endTime,returnsAccepted,returnsDays,sellerFeedbackScore,bids,price,ram,resolution,sellerItemsSold,isPolice,sellerLifePercent,sellerYearPercent,isUsed,isBroken,deliverySpeed,startingPrice,isSold
175514806454,apple,ipad pro 5,12.9,128,8.95,"06 Dec, 2022 14:22:22 GMT",0,-1,11,[],850.0,-1.0,-1,19,0,100.0,100.0,0,0,2,850.0,0
175506147262,apple,ipad pro 5,12.9,128,8.95,"01 Dec, 2022 14:20:20 GMT",0,-1,11,[],850.0,-1.0,-1,19,0,100.0,100.0,0,0,2,850.0,0
175495831828,apple,ipad pro 5,12.9,128,8.95,"26 Nov, 2022 02:50:58 GMT",0,-1,11,[850.0],850.0,-1.0,-1,19,0,100.0,100.0,0,0,2,850.0,1
165760275601,apple,ipad pro 5,12.9,128,12.40,"20 Nov, 2022 20:13:01 GMT",1,30,-1,"[891.0, 871.0, 801.0, 760.0, 720.0, 710.0, 650.0, 608.0, 587.0, 580.0, 567.0, 516.83, 236.0, 201.0, 190.0, 97.0, 85.0]",891.0,-1.0,-1,45000,1,99.9,100.0,0,0,2,0.99,1
295308485783,apple,ipad pro 5,12.9,128,9.95,"07 Nov, 2022 12:47:49 GMT",0,-1,831,"[720.0, 700.0, 680.0, 660.0, 640.0, 600.0, 590.0, 530.0, 510.0, 500.0, 406.0, 400.0]",720.0,-1.0,-1,1100,0,100.0,100.0,1,0,2,386.0,1
295294325702,apple,ipad pro 5,12.9,128,9.95,"30 Oct, 2022 16:37:11 GMT",0,-1,831,"[801.0, 800.0, 600.0, 556.0, 486.0, 476.0, 476.0, 456.0, 446.0, 436.0, 426.0, 416.0, 410.0, 396.0]",801.0,-1.0,-1,1100,0,100.0,100.0,1,0,2,386.0,1
144784820003,apple,ipad pro 5,12.9,128,8.99,"03 Nov, 2022 12:42:26 GMT",1,30,3345,"[430.0, 420.0, 400.0, 390.0, 380.0, 300.0, 146.0, 142.0, 90.0, 88.0, 75.0, 57.0, 55.0, 52.0, 50.0, 40.0, 11.0, 10.0, 3.0]",430.0,8.0,-1,8300,0,99.8,100.0,1,1,2,0.99,1
144784629727,apple,ipad pro 5,12.9,128,8.99,"03 Nov, 2022 09:10:00 GMT",1,30,3345,"[360.0, 350.0, 339.0, 205.0, 200.0, 200.0, 150.0, 13.0, 8.0, 3.0]",360.0,8.0,-1,8300,0,99.8,100.0,1,1,2,0.99,1
314212961482,apple,ipad pro 5,12.9,128,9.00,"08 Nov, 2022 22:19:59 GMT",0,-1,31,"[390.0, 380.0, 360.0, 350.0, 340.0, 255.0, 250.0, 240.0, 220.0, 210.0, 160.0, 150.0]",390.0,-1.0,-1,3,0,100.0,100.0,1,1,1,0.99,1
165760272638,apple,ipad pro 5,12.9,128,12.40,"17 Nov, 2022 20:26:01 GMT",1,30,-1,"[770.0, 750.0, 750.0, 668.0, 628.0, 608.0, 602.0, 567.89, 550.0, 500.0, 388.88, 205.0, 136.0, 2.0]",770.0,-1.0,-1,45000,1,99.9,100.0,0,0,2,0.99,1
314180292416,apple,ipad pro 5,12.9,128,5.00,"09 Oct, 2022 21:31:09 BST",0,-1,188,"[850.0, 839.0, 810.0, 765.0, 750.0, 700.0, 645.0, 565.0, 520.0, 505.0]",850.0,-1.0,-1,52,0,100.0,100.0,0,0,2,500.0,1
314203522663,apple,ipad pro 5,12.9,128,9.00,"01 Nov, 2022 19:51:57 GMT",0,-1,31,"[620.0, 450.0, 600.0, 390.0, 370.0, 370.0, 350.0, 220.0, 20.0, 4.3]",620.0,-1.0,-1,3,0,100.0,100.0,1,1,1,0.99,1
385218239164,apple,ipad pro 5,12.9,128,18.00,"10 Nov, 2022 20:02:06 GMT",0,-1,223,"[655.0, 651.0, 615.0, 570.0]",655.0,8.0,2732x2048,9,0,100.0,100.0,1,0,2,470.0,1
404006736298,apple,ipad pro 6,12.9,128,8.05,"27 Nov, 2022 20:11:01 GMT",0,-1,132,"[975.0, 955.0, 900.0, 541.0, 535.0, 521.0, 515.0, 500.0, 434.0]",975.0,-1.0,-1,154,0,100.0,100.0,0,0,1,424.0,1
325430681811,apple,ipad pro 5,12.9,128,19.45,"26 Nov, 2022 12:05:24 GMT",0,-1,361,"[772.0, 752.0, 720.0, 700.0]",772.0,-1.0,-1,53,0,100.0,100.0,0,0,2,699.0,1
